Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Côte d'Ivoire,176421.78,247757.7,134732.16,137604.42,180386.63999999998,151911.84,291515.51999999996,249840.24,119492.82,379226.328,290735.16000000003,215766.96,180578.4,178875.12,128135.988,125942.682,170876.424,80288.67000000001,151579.578,119321.96399999999,50203.44,132980.514,119630.202,155866.038,103682.598,77345.06999999999,67044.27,97430.922,130519.398,115751.83200000001
Democratic Republic of the Congo,94817.76000000001,73794.12,70809.42,58815.659999999996,77868.3,65889.3,47674.62,48673.02,44284.979999999996,28629.239999999998,21752.100000000002,25391.04,20272.38,27063.6,21585.24,20171.879999999997,22651.362,24955.721999999998,25317.498,20750.232,18309.45,21392.292,20042.718,20825.22,20092.26,22236.738,16763.262,22902.078,23828.561999999998,23436.084000000003
El Salvador,147891.84,131861.52,180078.06,142708.91999999998,137608.08,155110.74,152014.08000000002,130488.54000000001,123277.68000000001,155888.694,102266.98800000001,101637.95999999999,81682.56,82805.81999999999,71812.38,79115.22,74019.66,90299.466,87013.584,64477.782,112396.14,69825.882,74375.112,30899.976,39899.97,33900.0,36599.976,45576.744,45655.368,39641.496
Ethiopia,174567.06,175479.84000000003,109510.26000000001,178020.24,165763.8,189919.32,204446.52,183411.84,175663.5,227043.06,186908.94,242654.4,245634.12,263623.01999999996,312777.06,286769.16,333044.39999999997,358000.776,296939.214,409811.94,333623.088,339024.594,367920.396,374546.634,382995.708,390898.52400000003,428578.77599999995,440803.99199999997,450673.404,440605.974
Gabon,204.48,105.12,183.78,173.04,462.06,106.08,76.74,160.08,225.9,123.42,0.0,49.32,75.0,18.0,18.0,41.459999999999994,84.18,43.26,124.02000000000001,29.58,109.938,46.92,45.06,22.98,31.02,44.46,30.0,15.377999999999998,31.95,30.0
Ghana,2271.2999999999997,4578.36,2196.12,2722.86,3430.56,3391.68,1945.4999999999998,1636.5,3266.16,5334.066,4587.360000000001,437.1,2017.938,1088.514,1086.834,742.494,1212.666,2079.864,1584.036,1116.51,4169.874,1803.75,1253.016,1504.4460000000001,2123.5440000000003,2139.288,1566.546,778.002,884.73,868.398
Guatemala,196231.74,209791.86,259108.98,212130.06,227240.15999999997,240096.24,271473.36,253162.37999999998,293577.83999999997,307207.728,296385.18,220137.6,244197.18,216595.86000000002,222181.56,220531.788,237019.818,245980.608,227097.948,230087.20799999998,236996.01,231023.256,225775.986,191362.28399999999,198604.554,204586.86,221052.53999999998,224023.566,240404.05800000002,216345.864
Guinea,2667.6,5431.320000000001,4580.46,3828.3599999999997,11901.42,6249.84,8858.28,10302.66,25275.960000000003,21822.42,23999.52,14158.740000000002,19693.739999999998,21931.739999999998,18966.96,31493.04,28376.862,19361.363999999998,30286.914,29954.79,23187.654,23130.636000000002,14013.269999999999,6071.412,9906.462,17186.73,16196.556000000002,13751.214,9177.222,10702.674
Guyana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.866,305.25600000000003,172.308,315.37800000000004,312.078,325.512,363.366,420.86400000000003,454.776,517.044,592.332,550.602,548.598,611.304,584.298,776.472,558.042,673.3860000000001,577.956,595.698,599.07,570.354
Honduras,94077.48000000001,139308.48,115092.54000000001,109750.74,130843.8,114554.28,120263.28,153864.30000000002,131708.7,179100.30000000002,159999.47999999998,182175.12,149753.16,178071.9,154508.63999999998,192261.66,207676.89599999998,218387.574,206999.232,216175.01400000002,259841.124,352928.124,281159.74799999996,274981.47599999997,316092.96599999996,347146.56,447413.856,453586.08,429172.81799999997,355873.2
