Variable:,pr
,Colombia,Amazonas,Antioquia,Arauca,Atlantico,Bolivar,Boyaca,Buenaventura,Caldas,Caqueta,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guainia,Guajira,Guaviare,Huila,Magdalena,Meta,Narino,"Norte De Santander",Putumayo,Quindio,Risaralda,"San Andres Y Providencia",Santander,Sucre,Tolima,"Valle Del Cauca",Vaupes,Vichada
1931,2624.61,2848.06,2754.16,1980.27,1147.99,2297.55,1800.30,2416.63,2305.64,2727.11,2808.56,2416.63,2461.15,6342.54,1932.42,1897.30,2773.28,1516.54,2793.05,1548.09,1892.49,2893.76,2668.14,2170.39,3206.30,1905.48,2862.04,1834.95,2395.82,1704.07,1763.40,2700.30,2720.16,2575.02
1932,2571.78,3026.12,2777.30,1780.21,970.21,2152.84,1694.71,2546.04,2269.13,2625.76,2571.14,2546.04,1857.91,6379.91,1936.77,1742.52,3003.68,1112.98,2674.40,1486.78,1422.98,2550.29,3017.21,1801.89,3450.99,1878.49,2862.18,1845.22,2392.90,1658.00,1723.31,2685.98,3049.75,2368.78
1933,2664.97,2845.89,2888.07,1929.50,927.00,2156.39,1788.69,3057.67,2582.49,2784.52,2683.58,3057.67,1782.16,8165.81,1941.60,1952.98,2877.21,1076.47,2707.24,1799.36,1324.83,2792.88,2970.58,1746.55,3361.25,2230.64,3311.29,1882.38,2454.34,1651.08,2047.14,3398.84,2880.57,2501.93
1934,2616.57,2951.21,2686.22,1618.99,953.40,2070.15,1541.17,3091.45,2324.26,2789.01,2391.13,3091.45,1695.75,7417.24,1926.31,1744.39,3088.35,986.89,2680.66,1752.27,1344.94,2541.36,3359.07,1579.65,3740.02,2035.70,3021.24,1875.14,2118.45,1648.08,1877.42,3131.99,3102.11,2500.73
1935,2748.00,2837.59,3054.55,1954.40,889.16,2196.89,2077.74,2857.61,2776.51,2800.67,2985.25,2857.61,1759.85,7498.16,1952.01,2213.02,3034.03,1041.74,2806.28,1844.63,1260.66,3103.45,3028.78,1814.20,3447.09,2338.19,3430.44,1877.51,2742.12,1647.07,2164.61,3240.14,3019.43,2510.24
1936,2451.59,2814.18,2700.36,1763.64,956.07,2108.23,1614.46,2178.08,2135.72,2614.91,2540.94,2178.08,1844.55,5936.31,1932.98,1675.10,2733.43,1073.14,2604.71,1366.58,1429.18,2559.27,2426.54,1719.27,3056.41,1759.74,2697.15,1861.48,2204.65,1654.03,1598.57,2488.85,2717.24,2430.67
1937,2634.59,2898.60,2756.56,1814.09,930.33,2119.99,1627.31,3147.85,2452.95,2768.40,2514.74,3147.85,1786.56,8124.23,1930.75,1791.45,2965.54,1184.95,2674.85,1801.93,1326.85,2575.95,2996.99,1830.28,3339.69,2168.77,3224.89,1888.26,2292.47,1646.51,1993.61,3399.60,3048.65,2460.41
1938,2909.69,2983.79,3052.63,1924.21,966.87,2229.50,1986.21,3773.63,3094.74,3052.51,2781.40,3773.63,1983.73,9811.09,1943.80,2320.77,3015.37,1232.89,2785.93,2314.25,1442.82,3110.17,3547.91,2033.99,3765.01,2769.24,3964.55,1864.10,2680.93,1662.37,2570.96,4207.95,3030.63,2579.18
1939,2419.36,3069.03,2485.91,1577.14,878.91,1983.36,1349.63,2289.68,1836.29,2592.44,2271.53,2289.68,1471.61,5669.61,1917.61,1396.85,3141.00,993.74,2652.75,1297.21,1155.80,2261.14,2600.06,1388.00,3138.91,1552.86,2402.31,1870.21,1925.46,1623.68,1406.09,2332.81,3240.35,2394.21
1940,2414.58,3148.00,2523.99,1509.83,816.10,1958.16,1324.22,2433.43,2002.96,2597.57,2135.27,2433.43,1326.25,6189.57,1917.59,1442.04,3042.34,661.42,2659.05,1416.74,1008.02,2172.17,2517.97,1372.24,2993.69,1739.80,2620.58,1843.44,1978.68,1611.57,1606.01,2607.67,3109.07,2406.08
1941,2106.52,2944.96,1590.06,1594.81,860.76,1705.60,983.46,1889.15,1310.11,2425.48,1931.83,1889.15,1426.20,4439.54,1326.94,957.03,2900.71,651.81,2514.82,1042.20,1136.32,1745.82,2401.92,1356.19,2836.99,1186.80,1767.01,1892.73,1559.72,1382.41,1078.49,1782.74,2944.32,2441.24
1942,2286.44,2750.84,2011.85,1791.03,1039.01,1949.96,1356.44,1714.13,1700.82,2488.34,2321.91,1714.13,1977.08,4591.80,1481.17,1355.27,2879.21,1448.12,2649.68,1097.78,1568.87,2226.49,2153.89,1783.65,2850.79,1391.18,2054.48,1832.11,1964.91,1481.63,1286.10,1869.23,2881.83,2682.09
1943,2611.44,2935.91,2569.88,1728.49,920.00,2000.73,1585.71,3200.36,2326.83,2810.74,2540.43,3200.36,1764.59,7479.82,1753.94,1766.32,2903.39,1065.21,2687.33,1846.72,1335.74,2706.37,3328.90,1717.06,3564.12,2096.08,3099.66,1898.32,2155.01,1557.36,1945.19,3230.54,2902.36,2473.14
1944,2423.69,3117.14,1677.22,1715.44,1013.96,1737.45,1364.57,2397.16,1719.08,2706.89,2474.32,2397.16,1794.04,5255.81,1117.27,1458.48,3262.25,1253.48,2780.41,1475.49,1464.78,2584.51,2597.65,1540.30,3156.03,1564.65,2177.17,1924.54,1792.13,1311.34,1527.89,2331.06,3376.81,2657.72
1945,2489.06,2958.19,2348.20,1855.98,919.39,1984.72,1447.95,2731.24,2088.63,2710.60,2380.71,2731.24,1770.87,6753.76,1686.14,1572.83,3011.56,977.20,2650.81,1620.28,1332.24,2413.83,2680.13,1653.05,3137.71,1864.05,2717.81,1896.86,2051.97,1546.88,1756.73,2871.39,3091.15,2479.91
